proteinID_x	mutTol_0_x	mutTol_minus0_x	mutTol_plus0_x	bm_r_x	dm_r_x	proteinID_y	mutTol_0_y	mutTol_minus0_y	mutTol_plus0_y	bm_r_y	dm_r_y	Aggregation_x	length_x	Aggregation_y	length_y
G5B678	0.41092327698309494	0.7314694408322496	0.6794538361508452	0.0188556566970091	0.02080624187256177	Q3UHI4	0.5386232264844981	0.7488176563321072	0.789805570152391	0.013662637940094587	0.009458749343142408	4.147275862068965	261	3.3059447852760746	326
G5BQT4	0.26806640625	0.72802734375	0.5400390625	0.0078125	0.01318359375	Q9QYK9	0.31733594515181196	0.6483839373163565	0.6689520078354554	0.007835455435847209	0.010773751224289911	4.179274566473988	346	4.195597667638485	343
G5CB95	0.5180572851805728	0.7243669572436696	0.7936903279369033	0.0	0.0	Q8C120	0.4814238475004863	0.7383777475199378	0.7430460999805485	0.0	0.0	2.1973788063337407	821	1.6442779043280176	878
G5BYK8	0.5756154747948418	0.8555099648300117	0.72010550996483	0.1462485345838218	0.0	Q7TPN9	0.6294200848656294	0.8461103253182461	0.7833097595473834	0.0	0.0	1.9703959390862933	591	1.9757875816993475	612
G5B0K6	0.3241758241758242	0.756043956043956	0.5681318681318681	0.22087912087912087	0.012087912087912088	Q9DAM3	0.7013388259526262	0.8249227600411947	0.8764160659114315	0.0	0.004119464469618949	2.5172802547770696	157	0.0274107142857142	168
G5BVD4	0.3917438921651222	0.6714406065711879	0.7203032855939343	0.0029486099410278013	0.005897219882055603	P54728	0.4711459192085738	0.7040395713107996	0.7671063478977741	0.0016488046166529267	0.003709810387469085	3.285753694581281	406	3.1331418269230764	416
G5BAK5	0.2945205479452055	0.6712328767123288	0.6232876712328768	0.021917808219178082	0.019178082191780823	Q9DAK4	0.4143790849673203	0.6823529411764706	0.7320261437908496	0.0	0.01568627450980392	1.3644	125	0.4004924242424242	132
G5AUZ1	0.3707300736771601	0.6821835231078366	0.6885465505693235	0.003014065639651708	0.003348961821835231	Q60676	0.3843058350100604	0.6716968477531858	0.7126089872568746	0.0030181086519114686	0.004024144869215292	3.3905170340681385	499	3.371380761523047	499
G5BGU2	0.45860566448801743	0.7076978939724038	0.7509077705156136	0.0010893246187363835	0.0014524328249818446	O54829	0.40524781341107874	0.7150145772594753	0.6902332361516035	0.0	0.0014577259475218659	2.344767590618336	469	2.3570618336886984	469
G5AUT8	0.5748959778085991	0.765256588072122	0.8096393897364771	0.0	0.0024271844660194173	Q8BH43	0.5657220894503243	0.7644247183339024	0.801297371116422	0.0	0.0020484807101399795	0.529314928425358	489	0.6462072434607647	497
G5B5W3	0.36853002070393376	0.6690821256038647	0.699447895100069	0.0	0.0	Q8BGQ7	0.3864193209660483	0.6982849142457123	0.688134406720336	0.0	0.0	4.329592065106812	983	4.530447314049586	968
G5BQH3	0.4529987239472565	0.7222458528285836	0.7307528711186729	0.008507018290089324	0.002552105487026797	P06728	0.3657906074967686	0.7324429125376992	0.6333476949590694	0.004308487720809996	0.006462731581214994	4.399154228855724	402	2.897144303797468	395
G5BZV2	0.4088978314330427	0.6709143751397273	0.7379834562933154	0.0006706908115358819	0.000447127207690588	Q3UA37	0.3873794916739702	0.6619193689745837	0.7254601226993865	0.0	0.00043821209465381246	3.485055263157893	760	3.469401544401544	777
G5AXK5	0.443601416287304	0.7976732422862923	0.6459281740010117	0.005058168942842691	0.004552352048558422	Q9D832	0.38023197175995965	0.7639939485627837	0.616238023197176	0.005547150781643974	0.006555723651033787	3.5170801186943628	337	3.059400593471811	337
G5BCB9	0.32403965303593557	0.6536555142503098	0.6703841387856257	0.02540272614622057	0.01982651796778191	Q60766	0.17496860611134366	0.6123901213897028	0.5625784847216408	0.009208874005860193	0.011301799916282964	7.38436	275	6.970515892420537	409
G5C909	0.35651074589127685	0.6883691529709229	0.668141592920354	0.0	0.01580278128950695	Q8R0A0	0.2993805918788713	0.7185134205092911	0.5808671713695802	0.0	0.02064693737095664	0.8235645756457558	271	1.1897188755020076	249
G5BBH3	0.5933484504913077	0.7838246409674982	0.8095238095238095	0.0010078105316200555	0.0005039052658100278	Q7TT18	0.5854673079422852	0.768100870921617	0.8173664370206681	0.0	0.0	4.330611445783132	664	1.2977036753445632	1306
G5AWZ4	0.37780850328378845	0.7010024196335983	0.6768060836501901	0.0017283097131005876	0.00414794331144141	Q9WUM4	0.23033509700176366	0.6377425044091711	0.5925925925925926	0.001763668430335097	0.005643738977072311	4.159788934426232	488	4.505776371308016	474
G5C7H3	0.5729405538895749	0.7840889045687071	0.7888516493208679	0.0	0.0	Q8BWB1	0.6036866359447005	0.7889046437433535	0.8147819922013471	0.0	0.0	0.953741836734694	980	0.3543333333333332	975
G5BX45	0.47309833024118736	0.7625231910946196	0.7105751391465677	0.008534322820037106	0.0044526901669758815	P41158	0.36140767101621196	0.7117437722419929	0.649663898774219	0.007512850929221036	0.005931198102016607	3.082534934497817	458	2.9412651162790686	430
G5AXT2	0.4899904671115348	0.7244995233555768	0.765490943755958	0.0	0.02001906577693041	D3Z4I3	0.24694903086862885	0.6963388370423547	0.5506101938262742	0.0	0.023689877961234746	0.4815955056179775	178	1.246533898305084	236
G5B5F9	0.5904527760704774	0.7803728744109814	0.8100799016594961	0.0	0.0	Q5FWH6	0.5847905652704352	0.7812118747458316	0.8035786905246035	0.0	0.0	1.006739904988124	842	1.5981684334511184	849
G5BRY2	0.07234042553191489	0.691063829787234	0.38127659574468087	0.19234042553191488	0.02127659574468085	P09920	0.21026072329688814	0.6190075693860387	0.5912531539108494	0.04289318755256518	0.03700588730025231	3.921209756097562	205	4.680269230769229	208
G5C7D8	0.33995584988962474	0.6379690949227373	0.7019867549668874	0.04415011037527594	0.06181015452538632	P62313	0.3362637362637363	0.6395604395604395	0.6967032967032967	0.05274725274725275	0.05714285714285714	2.90475	80	2.90475	80
G5BRJ5	0.2647058823529412	0.6485801217038539	0.6161257606490872	0.014705882352941176	0.037525354969574036	Q3UL36	0.9612944162436549	0.9612944162436549	1.0	0.0	0.0019035532994923859	9.692381656804736	338	0.0	271
G5BDR6	0.24048415352763178	0.6442108616021659	0.5962732919254659	0.0	0.0	Q9ES34	0.1594225888324873	0.6611675126903553	0.498255076142132	0.0014276649746192893	0.0006345177664974619	8.621866104868916	1068	8.338419626168207	1070
G5BM33	0.27634854771784234	0.729460580912863	0.5468879668049793	0.016597510373443983	0.015767634854771784	Q9CQS9	0.3328498912255257	0.700507614213198	0.6323422770123278	0.014503263234227702	0.024655547498187092	3.84	205	2.549542735042737	234
G5BIG1	0.4541015625	0.72900390625	0.72509765625	0.0029296875	0.0087890625	Q9JK81	0.3476686283386148	0.6745133544590313	0.6731552738795835	0.0009053870529651426	0.009506564056133997	2.2971139601139603	351	2.799331578947367	380
G5BUS6	0.3623962040332147	0.6619217081850534	0.7004744958481613	0.017793594306049824	0.005338078291814947	P58044	0.2335063009636768	0.6160118606375092	0.6174944403261675	0.039288361749444035	0.011860637509266123	7.64854895104895	286	8.6648281938326	227
G5AWU7	0.3614636780988388	0.6921415068863084	0.6693221712125303	0.0	0.0	Q6NZL1	0.3724588217836474	0.703368452292625	0.6690903694910224	0.0	0.0	4.153962085308056	1266	3.6539939130434806	1150
G5BHP5	0.30977872947894364	0.6716630977872948	0.6381156316916489	0.03568879371877231	0.02426837972876517	Q8K479	0.3316796598157335	0.6711552090715804	0.6605244507441531	0.0368532955350815	0.03260099220411056	9.890818930041156	243	9.88976131687243	243
G5BMQ8	0.4541968470387729	0.7236188041471382	0.7305780428916347	0.0	0.0	Q9R0X5	0.4436555199267064	0.6800274851122309	0.7636280348144755	0.0	0.001603298213467705	2.426819685690652	1209	1.9642387612387604	1001
G5B3B0	0.3387240356083086	0.6870919881305638	0.6516320474777448	0.0	0.0001483679525222552	Q8C1B1	0.46975502147915943	0.7175200278648555	0.7522349936143039	0.0	0.0	3.909187390542905	1142	2.329845995893222	1461
G5CA44	0.33419689119170987	0.6707253886010363	0.6634715025906736	0.0025906735751295338	0.0018134715025906736	Q68FH4	0.29140067592940294	0.6083364626361246	0.6830642132932783	0.005632745024408562	0.001877581674802854	3.3149757942511333	661	3.6687707423580735	458
G5BNA5	0.3957044048052421	0.7098653076082999	0.6858390971969421	0.002184200946487077	0.0036403349108117948	Q9R0N0	0.3362676056338028	0.695862676056338	0.6404049295774648	0.08318661971830986	0.007042253521126761	4.612930379746831	474	6.967910714285716	392
